freq,indic_il,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MED_E,EUR,ED0-2,F,Y18-64,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1453 	1619 	1862 	2081 	2094 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,AT	14045 	15190 	15258 	15376 	15552 	16381 b	17898 	18054 	18464 	18365 	19282 	19231 	19130 	19660 	20751 	21544 	21989 	21142 	21311 	21042 	24710 
A,MED_E,EUR,ED0-2,F,Y18-64,BE	12846 	13013 	13880 	14597 	14613 	14929 	15962 	15415 	15210 	15295 	16200 	15934 	15493 	15892 	16260 	16334 	18245 b	18991 	18906 	19561 	20830 
A,MED_E,EUR,ED0-2,F,Y18-64,BG	: 	: 	: 	974 	956 	1513 	1977 	2008 	1776 	1806 	1809 	1998 	1960 	1729 b	1949 	2185 	2452 	2604 	3122 	3002 	3516 
A,MED_E,EUR,ED0-2,F,Y18-64,CH	: 	: 	: 	: 	25205 	23588 	24566 	26353 	28869 	32039 	33592 	31329 b	32831 	36649 	35473 	33317 	34538 	33588 	36627 	36558 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,CY	: 	: 	11502 	12413 	13501 	13667 b	13962 	14042 	13972 	14226 	13004 	11475 	10468 	10589 	11355 	11612 	12507 	12979 	13028 	13641 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,CZ	: 	: 	3701 	4119 	4515 	5076 	6252 	6110 	6424 	6693 	6419 	6338 	6188 	6164 	6790 	7548 	8490 	8425 	8898 	10176 	11020 
A,MED_E,EUR,ED0-2,F,Y18-64,DE	: 	: 	15203 	14865 	14730 	15678 	15559 	15229 	15120 	15620 	15527 	15359 	15511 	15249 	15657 	16303 	17563 	21501 b	19584 	20000 	21176 
A,MED_E,EUR,ED0-2,F,Y18-64,DK	19507 	20043 	20289 	21129 	21574 	22615 	22969 	23847 	25289 b	24953 	25101 	26739 	26535 	26050 	25877 	27399 	28023 	26530 	27918 	27924 	30596 
A,MED_E,EUR,ED0-2,F,Y18-64,EA	: 	: 	: 	: 	: 	13983 e	14188 e	14156 e	13786 e	13817 e	13426 e	13121 e	13153 e	13324 e	13788 e	14169 e	14723 	15735 b	15455 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,EA18	: 	: 	12282 	12532 	12631 	13875 	14140 	14108 	13752 	13786 	13395 	13121 	13180 	13351 	13812 	14191 	14747 	15757 b	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,EA19	: 	: 	12238 	12490 	12594 	13839 	14101 	14068 	13714 	13754 	13362 	13095 	13153 	13324 	13788 	14169 	14723 	15735 b	15455 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13019 	13056 	13235 	13697 	14087 	14642 	15662 	15406 	15952 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,EE	: 	2092 	2449 	2992 	3573 	4146 	4907 	4624 	4454 	4681 	5270 	5671 b	6117 	6620 	7264 	8117 	9174 	10335 	10520 	12618 	12479 
A,MED_E,EUR,ED0-2,F,Y18-64,EL	6942 	7380 	7940 	8333 	8703 	9240 	9701 	10000 	8980 	7250 	6227 	5828 	6000 	5951 	6120 	6268 	6561 	6856 	6780 	7300 	7887 
A,MED_E,EUR,ED0-2,F,Y18-64,ES	: 	9203 	9389 	9983 	10439 	12470 b	13006 	12799 	11863 	11605 	11044 	10226 	10349 	10415 	10933 	11499 	12027 	12791 	12261 	13017 	14378 
A,MED_E,EUR,ED0-2,F,Y18-64,EU	: 	: 	: 	: 	: 	12393 e	12669 e	12611 e	12416 e	12478 e	12081 e	12547 e	12521 e	12542 e	12567 e	13199 e	13732 e	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,EU27_2007	: 	: 	10982 e	11305 e	11461 	12393 	12669 	12671 	12483 	12545 	12149 	12616 	12585 	12600 	12631 	13258 	13789 e	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,EU27_2020	: 	: 	: 	: 	: 	: 	: 	12549 e	12323 e	12341 e	11917 e	11857 e	11709 e	11817 e	12467 e	12927 e	13490 e	14449 b	14248 	14845 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,EU28	: 	: 	: 	: 	: 	: 	: 	12611 	12416 	12477 	12081 	12547 	12521 	12542 	12567 	13199 	13732 e	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,FI	: 	16168 	16701 	16975 	17050 	18144 	19500 	19183 	19418 	20360 	20554 	21723 	21433 	20455 	20577 	19366 	19569 	20205 	20664 	23490 	24699 
A,MED_E,EUR,ED0-2,F,Y18-64,FR	: 	13591 	13856 	14441 	14261 	16859 	17060 	16795 	16912 b	17480 	16834 	17112 	17217 	18108 	18134 	18996 	18439 	17383 b	17641 	17264 b	: 
A,MED_E,EUR,ED0-2,F,Y18-64,HR	: 	: 	: 	: 	: 	: 	: 	4529 	4241 	4194 	4121 	4054 	4217 	4650 	4720 	5109 	5608 	6366 	6000 	6689 	7628 b
A,MED_E,EUR,ED0-2,F,Y18-64,HU	: 	: 	2962 	2999 	3277 	3542 	3842 	3310 	3376 	3424 	3157 	3115 	3248 	3493 	3792 	3907 	4537 	4698 	4374 	5546 	5422 
A,MED_E,EUR,ED0-2,F,Y18-64,IE	14675 	15260 	15666 	16431 	17762 	18229 	17564 	16886 	16172 	16050 	15763 	15671 	16153 	16447 	17584 	18728 	19059 	20106 b	20857 	21040 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,IS	: 	22013 	23152 	28093 	28333 	31240 	20929 	17077 	18478 	19172 	20803 	22507 	23877 	28741 	34305 	39606 	36501 	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,IT	: 	12216 	12903 	12893 	12964 	13417 	13343 	13862 	13490 	13581 	12864 	12990 	12851 	12713 	13154 	13034 	13912 	14236 	13879 	14371 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,LT	: 	: 	1614 	1860 	2360 	2768 	3375 	3075 	2594 	2924 	2910 	3594 	3568 	3664 	3726 	4764 	5275 	6458 	6900 	7821 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,LU	22505 	23678 	24261 	24269 	24575 	25400 	25773 	26000 	26380 	26321 	25652 	26850 	27662 	26744 b	28409 	27152 	27646 	26792 b	30127 b	33361 b	: 
A,MED_E,EUR,ED0-2,F,Y18-64,LV	: 	: 	1590 	1657 	2387 	3508 	3780 	3127 	3003 	3077 	3335 	3667 	3969 	4314 	4563 	5337 	5877 	6268 	6569 	7024 	8717 
A,MED_E,EUR,ED0-2,F,Y18-64,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2008 	1988 	2068 	2038 	2278 	2256 	2286 	2689 	2610 	3183 	: 
